,date,state,cases,deaths,infected
0,2020-01-21,Alabama,0,0,0
1,2020-01-21,Alaska,0,0,0
2,2020-01-21,Arizona,0,0,0
3,2020-01-21,Arkansas,0,0,0
4,2020-01-21,California,0,0,0
5,2020-01-21,Colorado,0,0,0
6,2020-01-21,Connecticut,0,0,0
7,2020-01-21,Delaware,0,0,0
8,2020-01-21,Florida,0,0,0
9,2020-01-21,Georgia,0,0,0
10,2020-01-21,Hawaii,0,0,0
11,2020-01-21,Idaho,0,0,0
12,2020-01-21,Illinois,0,0,0
13,2020-01-21,Indiana,0,0,0
14,2020-01-21,Iowa,0,0,0
15,2020-01-21,Kansas,0,0,0
16,2020-01-21,Kentucky,0,0,0
17,2020-01-21,Louisiana,0,0,0
18,2020-01-21,Maine,0,0,0
19,2020-01-21,Maryland,0,0,0
20,2020-01-21,Massachusetts,0,0,0
21,2020-01-21,Michigan,0,0,0
22,2020-01-21,Minnesota,0,0,0
23,2020-01-21,Mississippi,0,0,0
24,2020-01-21,Missouri,0,0,0
25,2020-01-21,Montana,0,0,0
26,2020-01-21,Nebraska,0,0,0
27,2020-01-21,Nevada,0,0,0
28,2020-01-21,New Hampshire,0,0,0
29,2020-01-21,New Jersey,0,0,0
30,2020-01-21,New Mexico,0,0,0
31,2020-01-21,New York,0,0,0
32,2020-01-21,North Carolina,0,0,0
33,2020-01-21,North Dakota,0,0,0
34,2020-01-21,Ohio,0,0,0
35,2020-01-21,Oklahoma,0,0,0
36,2020-01-21,Oregon,0,0,0
37,2020-01-21,Pennsylvania,0,0,0
38,2020-01-21,Rhode Island,0,0,0
39,2020-01-21,South Carolina,0,0,0
40,2020-01-21,South Dakota,0,0,0
41,2020-01-21,Tennessee,0,0,0
42,2020-01-21,Texas,0,0,0
43,2020-01-21,Utah,0,0,0
44,2020-01-21,Vermont,0,0,0
45,2020-01-21,Virginia,0,0,0
46,2020-01-21,West Virginia,0,0,0
47,2020-01-21,Wisconsin,0,0,0
48,2020-01-21,Wyoming,0,0,0
49,2020-01-21,Washington,1,0,0
50,2020-01-22,Washington,1,0,0
51,2020-01-23,Washington,1,0,0
52,2020-01-24,Illinois,1,0,1
53,2020-01-24,Washington,1,0,0
54,2020-01-25,California,1,0,1
55,2020-01-25,Illinois,1,0,0
56,2020-01-25,Washington,1,0,0
57,2020-01-26,Arizona,1,0,1
58,2020-01-26,California,2,0,1
59,2020-01-26,Illinois,1,0,0
60,2020-01-26,Washington,1,0,0
61,2020-01-27,Arizona,1,0,0
62,2020-01-27,California,2,0,0
63,2020-01-27,Illinois,1,0,0
64,2020-01-27,Washington,1,0,0
65,2020-01-28,Arizona,1,0,0
66,2020-01-28,California,2,0,0
67,2020-01-28,Illinois,1,0,0
68,2020-01-28,Washington,1,0,0
69,2020-01-29,Arizona,1,0,0
70,2020-01-29,California,2,0,0
71,2020-01-29,Illinois,1,0,0
72,2020-01-29,Washington,1,0,0
73,2020-01-30,Arizona,1,0,0
74,2020-01-30,California,2,0,0
75,2020-01-30,Illinois,2,0,1
76,2020-01-30,Washington,1,0,0
77,2020-01-31,Arizona,1,0,0
78,2020-01-31,California,3,0,1
79,2020-01-31,Illinois,2,0,0
80,2020-01-31,Washington,1,0,0
81,2020-02-01,Arizona,1,0,0
82,2020-02-01,California,3,0,0
83,2020-02-01,Illinois,2,0,0
84,2020-02-01,Massachusetts,1,0,1
85,2020-02-01,Washington,1,0,0
86,2020-02-02,Arizona,1,0,0
87,2020-02-02,California,6,0,3
88,2020-02-02,Illinois,2,0,0
89,2020-02-02,Massachusetts,1,0,0
90,2020-02-02,Washington,1,0,0
91,2020-02-03,Arizona,1,0,0
92,2020-02-03,California,6,0,0
93,2020-02-03,Illinois,2,0,0
94,2020-02-03,Massachusetts,1,0,0
95,2020-02-03,Washington,1,0,0
96,2020-02-04,Arizona,1,0,0
97,2020-02-04,California,6,0,0
98,2020-02-04,Illinois,2,0,0
99,2020-02-04,Massachusetts,1,0,0
100,2020-02-04,Washington,1,0,0
101,2020-02-05,Arizona,1,0,0
102,2020-02-05,California,6,0,0
103,2020-02-05,Illinois,2,0,0
104,2020-02-05,Massachusetts,1,0,0
105,2020-02-05,Washington,1,0,0
106,2020-02-05,Wisconsin,1,0,1
107,2020-02-06,Arizona,1,0,0
